inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
9,Ciudad de México,9009,Milpa Alta,4200,Robo a casa habitación,5,3.6035256385803223,2023-08
9,Ciudad de México,9010,Alvaro Obregon,4200,Robo a casa habitación,22,2.9224228858947754,2023-08
9,Ciudad de México,9003,Coyoacan,4200,Robo a casa habitación,28,4.52733039855957,2023-08
9,Ciudad de México,9002,Azcapotzalco,4200,Robo a casa habitación,14,3.45013689994812,2023-08
9,Ciudad de México,9007,Iztapalapa,4200,Robo a casa habitación,44,2.4592201709747314,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,4200,Robo a casa habitación,10,4.10593318939209,2023-08
9,Ciudad de México,9006,Iztacalco,4200,Robo a casa habitación,19,4.841492176055908,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,4200,Robo a casa habitación,6,3.0124263763427734,2023-08
9,Ciudad de México,9015,Cuauhtemoc,4200,Robo a casa habitación,37,6.721529006958008,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,4200,Robo a casa habitación,19,4.9763360023498535,2023-08
9,Ciudad de México,9017,Venustiano Carranza,4200,Robo a casa habitación,15,3.4772207736968994,2023-08
9,Ciudad de México,9012,Tlalpan,4200,Robo a casa habitación,27,3.9705824851989746,2023-08
9,Ciudad de México,9002,Azcapotzalco,4300,Robo a negocio,95,23.411643981933594,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,4300,Robo a negocio,145,12.415010452270508,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,4300,Robo a negocio,10,4.10593318939209,2023-08
9,Ciudad de México,9006,Iztacalco,4300,Robo a negocio,17,4.33186149597168,2023-08
9,Ciudad de México,9007,Iztapalapa,4300,Robo a negocio,131,7.3217692375183105,2023-08
9,Ciudad de México,9010,Alvaro Obregon,4300,Robo a negocio,86,11.424016952514648,2023-08
9,Ciudad de México,9017,Venustiano Carranza,4300,Robo a negocio,46,10.663476943969727,2023-08
9,Ciudad de México,9013,Xochimilco,4300,Robo a negocio,17,4.1227312088012695,2023-08
9,Ciudad de México,9009,Milpa Alta,4300,Robo a negocio,2,1.4414103031158447,2023-08
9,Ciudad de México,9012,Tlalpan,4300,Robo a negocio,79,11.617630004882812,2023-08
9,Ciudad de México,9015,Cuauhtemoc,4300,Robo a negocio,139,25.251148223876953,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,4300,Robo a negocio,57,14.929008483886719,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,4300,Robo a negocio,25,12.551775932312012,2023-08
9,Ciudad de México,9014,Benito Juarez,4300,Robo a negocio,102,23.097774505615234,2023-08
9,Ciudad de México,9011,Tlahuac,4300,Robo a negocio,15,4.145249366760254,2023-08
9,Ciudad de México,9003,Coyoacan,4300,Robo a negocio,95,15.360586166381836,2023-08
9,Ciudad de México,9015,Cuauhtemoc,4400,Robo a transeúnte total,279,50.68396031856537,2023-08
9,Ciudad de México,9013,Xochimilco,4400,Robo a transeúnte total,34,8.245462700724602,2023-08
9,Ciudad de México,9012,Tlalpan,4400,Robo a transeúnte total,68,9.999985098838806,2023-08
9,Ciudad de México,9002,Azcapotzalco,4400,Robo a transeúnte total,41,10.103972285985947,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,4400,Robo a transeúnte total,15,6.158899635076523,2023-08
9,Ciudad de México,9010,Alvaro Obregon,4400,Robo a transeúnte total,101,13.416578233242035,2023-08
9,Ciudad de México,9009,Milpa Alta,4400,Robo a transeúnte total,3,2.162115454673767,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,4400,Robo a transeúnte total,12,6.024852514266968,2023-08
9,Ciudad de México,9011,Tlahuac,4400,Robo a transeúnte total,26,7.185099005699158,2023-08
9,Ciudad de México,9003,Coyoacan,4400,Robo a transeúnte total,103,16.65410876274109,2023-08
9,Ciudad de México,9014,Benito Juarez,4400,Robo a transeúnte total,102,23.09777343273163,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,4400,Robo a transeúnte total,82,21.476819157600403,2023-08
9,Ciudad de México,9007,Iztapalapa,4400,Robo a transeúnte total,229,12.799123764038086,2023-08
9,Ciudad de México,9017,Venustiano Carranza,4400,Robo a transeúnte total,115,26.658692121505737,2023-08
9,Ciudad de México,9006,Iztacalco,4400,Robo a transeúnte total,61,15.543737649917603,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,4400,Robo a transeúnte total,116,9.932008504867554,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,4940,Robo en transporte público,2,1.0041420459747314,2023-08
9,Ciudad de México,9013,Xochimilco,4940,Robo en transporte público,9,2.182622507214546,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,4940,Robo en transporte público,19,4.976336240768433,2023-08
9,Ciudad de México,9009,Milpa Alta,4940,Robo en transporte público,1,0.7207051515579224,2023-08
9,Ciudad de México,9014,Benito Juarez,4940,Robo en transporte público,31,7.019911408424377,2023-08
9,Ciudad de México,9012,Tlalpan,4940,Robo en transporte público,20,2.9411721229553223,2023-08
9,Ciudad de México,9002,Azcapotzalco,4940,Robo en transporte público,6,1.4786300659179688,2023-08
9,Ciudad de México,9003,Coyoacan,4940,Robo en transporte público,24,3.8805689215660095,2023-08
9,Ciudad de México,9011,Tlahuac,4940,Robo en transporte público,7,1.9344497323036194,2023-08
9,Ciudad de México,9017,Venustiano Carranza,4940,Robo en transporte público,26,6.027182340621948,2023-08
9,Ciudad de México,9006,Iztacalco,4940,Robo en transporte público,17,4.33186137676239,2023-08
9,Ciudad de México,9010,Alvaro Obregon,4940,Robo en transporte público,16,2.1253984570503235,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,4940,Robo en transporte público,2,0.8211866021156311,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,4940,Robo en transporte público,25,2.1405190229415894,2023-08
9,Ciudad de México,9007,Iztapalapa,4940,Robo en transporte público,43,2.4033288955688477,2023-08
9,Ciudad de México,9015,Cuauhtemoc,4940,Robo en transporte público,79,14.351372480392456,2023-08
9,Ciudad de México,9011,Tlahuac,5000,Violación,11,3.039849638938904,2023-08
9,Ciudad de México,9006,Iztacalco,5000,Violación,11,2.8029690980911255,2023-08
9,Ciudad de México,9013,Xochimilco,5000,Violación,18,4.365244925022125,2023-08
9,Ciudad de México,9007,Iztapalapa,5000,Violación,34,1.9003065526485443,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,5000,Violación,4,1.6423732042312622,2023-08
9,Ciudad de México,9009,Milpa Alta,5000,Violación,3,2.1621153354644775,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,5000,Violación,21,1.798035979270935,2023-08
9,Ciudad de México,9012,Tlalpan,5000,Violación,19,2.7941136360168457,2023-08
9,Ciudad de México,9015,Cuauhtemoc,5000,Violación,36,6.539865851402283,2023-08
9,Ciudad de México,9014,Benito Juarez,5000,Violación,13,2.9438339471817017,2023-08
9,Ciudad de México,9010,Alvaro Obregon,5000,Violación,15,1.9925610423088074,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,5000,Violación,7,1.8333870768547058,2023-08
9,Ciudad de México,9017,Venustiano Carranza,5000,Violación,6,1.3908883333206177,2023-08
9,Ciudad de México,9002,Azcapotzalco,5000,Violación,4,0.9857533872127533,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,5000,Violación,3,1.5062130689620972,2023-08
9,Ciudad de México,9003,Coyoacan,5000,Violación,9,1.4552133679389954,2023-08
9,Ciudad de México,9003,Coyoacan,6000,Violencia familiar,228,36.86540603637695,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,6000,Violencia familiar,124,32.477142333984375,2023-08
9,Ciudad de México,9017,Venustiano Carranza,6000,Violencia familiar,172,39.87213134765625,2023-08
9,Ciudad de México,9011,Tlahuac,6000,Violencia familiar,152,42.00519561767578,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,6000,Violencia familiar,93,46.69260787963867,2023-08
9,Ciudad de México,9013,Xochimilco,6000,Violencia familiar,182,44.13747787475586,2023-08
9,Ciudad de México,9012,Tlalpan,6000,Violencia familiar,214,31.470542907714844,2023-08
9,Ciudad de México,9002,Azcapotzalco,6000,Violencia familiar,115,28.340410232543945,2023-08
9,Ciudad de México,9015,Cuauhtemoc,6000,Violencia familiar,229,41.60081481933594,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,6000,Violencia familiar,393,33.64896011352539,2023-08
9,Ciudad de México,9006,Iztacalco,6000,Violencia familiar,177,45.10232162475586,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,6000,Violencia familiar,106,43.522891998291016,2023-08
9,Ciudad de México,9009,Milpa Alta,6000,Violencia familiar,48,34.59384536743164,2023-08
9,Ciudad de México,9010,Alvaro Obregon,6000,Violencia familiar,266,35.33475112915039,2023-08
9,Ciudad de México,9014,Benito Juarez,6000,Violencia familiar,96,21.73908042907715,2023-08
9,Ciudad de México,9007,Iztapalapa,6000,Violencia familiar,569,31.802188873291016,2023-08
9,Ciudad de México,9010,Alvaro Obregon,7000,Trata de personas,1,0.13283739984035492,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9011,Tlahuac,7000,Trata de personas,1,0.2763499617576599,2023-08
9,Ciudad de México,9014,Benito Juarez,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,7000,Trata de personas,2,0.17124152183532715,2023-08
9,Ciudad de México,9003,Coyoacan,7000,Trata de personas,2,0.3233807384967804,2023-08
9,Ciudad de México,9007,Iztapalapa,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,7000,Trata de personas,1,0.5020710229873657,2023-08
9,Ciudad de México,9017,Venustiano Carranza,7000,Trata de personas,1,0.23181471228599548,2023-08
9,Ciudad de México,9009,Milpa Alta,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9012,Tlalpan,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9015,Cuauhtemoc,7000,Trata de personas,1,0.18166294693946838,2023-08
9,Ciudad de México,9013,Xochimilco,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,7000,Trata de personas,1,0.26191243529319763,2023-08
9,Ciudad de México,9006,Iztacalco,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9002,Azcapotzalco,7000,Trata de personas,0,0,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,8000,Narcomenudeo,2,1.0041420459747314,2023-08
9,Ciudad de México,9010,Alvaro Obregon,8000,Narcomenudeo,27,3.5866100788116455,2023-08
9,Ciudad de México,9013,Xochimilco,8000,Narcomenudeo,6,1.455081582069397,2023-08
9,Ciudad de México,9015,Cuauhtemoc,8000,Narcomenudeo,67,12.171417236328125,2023-08
9,Ciudad de México,9011,Tlahuac,8000,Narcomenudeo,25,6.908749103546143,2023-08
9,Ciudad de México,9012,Tlalpan,8000,Narcomenudeo,5,0.7352930307388306,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,8000,Narcomenudeo,3,1.231779932975769,2023-08
9,Ciudad de México,9007,Iztapalapa,8000,Narcomenudeo,103,5.756811141967773,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,8000,Narcomenudeo,27,2.311760663986206,2023-08
9,Ciudad de México,9014,Benito Juarez,8000,Narcomenudeo,10,2.2644877433776855,2023-08
9,Ciudad de México,9003,Coyoacan,8000,Narcomenudeo,16,2.587045907974243,2023-08
